model,cor.pasm,auc.pasm,oldRange,newRange,areaLoss,areaGain,iter,cor.current,cor.future
mg45,0.393131882,0.863874717,0.412138212,0.427773537,0.022011468,0.037646793,3,0.636878794,0.603599507
mg85,0.393131882,0.863874717,0.412138212,0.435260271,0.022349223,0.045471282,3,0.636878794,0.58309816
mp26,0.393131882,0.863874717,0.412138212,0.420023063,0.027520883,0.035405734,3,0.636878794,0.574252139
mp45,0.393131882,0.863874717,0.412138212,0.426728971,0.027200331,0.04179109,3,0.636878794,0.584932964
mp85,0.393131882,0.863874717,0.412138212,0.432341224,0.030580409,0.050783421,3,0.636878794,0.562797498
gf26,0.347328425,0.836297339,0.398288503,0.365724978,0.060682182,0.028118657,4,0.59398697,0.418302936
gf45,0.347328425,0.836297339,0.398288503,0.372138502,0.054035471,0.027885469,4,0.59398697,0.395545961
gf85,0.347328425,0.836297339,0.398288503,0.386134723,0.052549379,0.040395599,4,0.59398697,0.435987999
he26,0.347328425,0.836297339,0.398288503,0.413489127,0.036006861,0.051207485,4,0.59398697,0.443077877
he45,0.347328425,0.836297339,0.398288503,0.422542429,0.037492773,0.061746699,4,0.59398697,0.466414875
he85,0.347328425,0.836297339,0.398288503,0.425912605,0.043549737,0.071173839,4,0.59398697,0.451079844
mg26,0.347328425,0.836297339,0.398288503,0.417832112,0.019132163,0.038675772,4,0.59398697,0.544181357
mg45,0.347328425,0.836297339,0.406350458,0.426120937,0.033606104,0.053376583,4,0.59398697,0.563385119
mg85,0.347328425,0.836297339,0.410343444,0.42034838,0.04344901,0.053453947,4,0.59398697,0.502282873
mp26,0.347328425,0.836297339,0.398288503,0.409410826,0.031115947,0.04223827,4,0.59398697,0.496992929
mp45,0.347328425,0.836297339,0.398288503,0.413543413,0.033444566,0.048699476,4,0.59398697,0.518334559
mp85,0.347328425,0.836297339,0.398288503,0.428654748,0.030520953,0.060887197,4,0.59398697,0.477296421
gf26,0.341242506,0.835909555,0.410381435,0.367865122,0.073253683,0.030737369,5,0.624381434,0.503852877
gf45,0.341242506,0.835909555,0.410381435,0.378456856,0.067015188,0.035090609,5,0.624381434,0.481506856
gf85,0.341242506,0.835909555,0.410381435,0.387474883,0.066537076,0.043630523,5,0.624381434,0.506770219
he26,0.341242506,0.835909555,0.410381435,0.421927646,0.045995136,0.057541347,5,0.624381434,0.526860856
he45,0.341242506,0.835909555,0.410381435,0.429953097,0.051288657,0.070860318,5,0.624381434,0.547489884
he85,0.341242506,0.835909555,0.410381435,0.417893057,0.064858862,0.072370484,5,0.624381434,0.545414555
mg26,0.341242506,0.835909555,0.410381435,0.426955835,0.020234486,0.036808886,5,0.624381434,0.583689546
mg45,0.341242506,0.835909555,0.410381435,0.440294626,0.020981272,0.050894463,5,0.624381434,0.563967617
mg85,0.341242506,0.835909555,0.410381435,0.453633418,0.021728057,0.06498004,5,0.624381434,0.544245687
mp26,0.341242506,0.835909555,0.410381435,0.420063231,0.035837184,0.045518979,5,0.624381434,0.553645258
mp45,0.341242506,0.835909555,0.410381435,0.424037114,0.039606212,0.053261891,5,0.624381434,0.586624965
mp85,0.341242506,0.835909555,0.410381435,0.436493586,0.042079936,0.068192087,5,0.624381434,0.559349036
gf26,0.357207476,0.8488433,0.414298439,0.398430618,0.054660991,0.03879317,6,0.561845109,0.384114463
gf45,0.357207476,0.8488433,0.414298439,0.405119271,0.053190478,0.04401131,6,0.561845109,0.361109869
gf85,0.357207476,0.8488433,0.414298439,0.424050972,0.052416938,0.062169471,6,0.561845109,0.377613045
he26,0.357207476,0.8488433,0.414298439,0.440963401,0.037427211,0.064092174,6,0.561845109,0.423624294
he45,0.357207476,0.8488433,0.414298439,0.450429595,0.039215152,0.075346308,6,0.561845109,0.430011029
he85,0.357207476,0.8488433,0.414298439,0.448385641,0.049213257,0.083300459,6,0.561845109,0.43199249
mg26,0.357207476,0.8488433,0.414298439,0.443546977,0.015104261,0.0443528,6,0.561845109,0.491074889
mg45,0.357207476,0.8488433,0.404334969,0.426345931,0.035063583,0.057074544,6,0.561845109,0.531960693
mg85,0.357207476,0.8488433,0.410381435,0.402179354,0.05766681,0.049464728,6,0.561845109,0.531600957
mp26,0.357207476,0.8488433,0.414298439,0.44150322,0.025604423,0.052809205,6,0.561845109,0.485202231
mp45,0.357207476,0.8488433,0.414298439,0.450290272,0.02705594,0.063047774,6,0.561845109,0.490974864
mp85,0.357207476,0.8488433,0.414298439,0.462875969,0.032155589,0.080733119,6,0.561845109,0.423924087
gf26,0.35109303,0.843663061,0.394291626,0.35628731,0.062102374,0.024098058,7,0.638678948,0.558177729
gf45,0.35109303,0.843663061,0.394291626,0.359217051,0.059165308,0.024090733,7,0.638678948,0.532151248
gf85,0.35109303,0.843663061,0.394291626,0.371825258,0.057481993,0.035015626,7,0.638678948,0.550233839
he26,0.35109303,0.843663061,0.394291626,0.410473876,0.039963985,0.056146235,7,0.638678948,0.561512964
he45,0.35109303,0.843663061,0.394291626,0.420932687,0.04265919,0.069300251,7,0.638678948,0.58531338
he85,0.35109303,0.843663061,0.394291626,0.414372765,0.053858021,0.07393916,7,0.638678948,0.557005566
mg26,0.35109303,0.843663061,0.394291626,0.41077454,0.019866961,0.036349874,7,0.638678948,0.601888754
mg45,0.35109303,0.843663061,0.394291626,0.420484138,0.020404842,0.046597354,7,0.638678948,0.595769667
mg85,0.35109303,0.843663061,0.394291626,0.430193736,0.020942723,0.056844833,7,0.638678948,0.58965058
mp26,0.35109303,0.843663061,0.394291626,0.409835824,0.027661395,0.043205593,7,0.638678948,0.592073131
mp45,0.35109303,0.843663061,0.394291626,0.413097925,0.030892194,0.049698492,7,0.638678948,0.599682086
mp85,0.35109303,0.843663061,0.394291626,0.425752832,0.033756608,0.065217814,7,0.638678948,0.581072501
gf26,0.35361385,0.8431663,0.390832623,0.371248562,0.053591158,0.034007097,8,0.627861127,0.498146273
gf45,0.35361385,0.8431663,0.390832623,0.3772166,0.051462711,0.037846687,8,0.627861127,0.477172878
gf85,0.35361385,0.8431663,0.390832623,0.39460335,0.048699299,0.052470026,8,0.627861127,0.486341241
he26,0.35361385,0.8431663,0.390832623,0.416965739,0.034692849,0.060825965,8,0.627861127,0.530605164
he45,0.35361385,0.8431663,0.390832623,0.429169186,0.035701033,0.074037596,8,0.627861127,0.537787439
he85,0.35361385,0.8431663,0.390832623,0.429153869,0.043169697,0.081490942,8,0.627861127,0.49620284
mg26,0.35361385,0.8431663,0.390832623,0.410541755,0.016729376,0.036438507,8,0.627861127,0.621309305
mg45,0.35361385,0.8431663,0.390832623,0.416777907,0.019626337,0.045571621,8,0.627861127,0.610180441
mg85,0.35361385,0.8431663,0.390832623,0.427515196,0.022625737,0.05930831,8,0.627861127,0.587115658
mp26,0.35361385,0.8431663,0.390832623,0.419384914,0.023873334,0.052425624,8,0.627861127,0.586933206
mp45,0.35361385,0.8431663,0.390832623,0.42301406,0.022523297,0.054704734,8,0.627861127,0.599051576
mp85,0.35361385,0.8431663,0.390832623,0.438252485,0.025625138,0.073044999,8,0.627861127,0.564050875
gf26,0.378104124,0.871903728,0.42784827,0.397373792,0.057144455,0.026669977,9,0.59679009,0.521644003
gf45,0.378104124,0.871903728,0.42784827,0.402046622,0.052548398,0.026746749,9,0.59679009,0.507877316
gf85,0.378104124,0.871903728,0.42784827,0.404813127,0.056999238,0.033964095,9,0.59679009,0.512653858
