"lon","lat","species.name","optional"
-133.7,59.5667,"pasm",TRUE
-117.9,50.75,"pasm",TRUE
-121.9508,51.3394,"pasm",TRUE
-117.4042,49.0525,"pasm",TRUE
-120.6333,50.0833,"pasm",TRUE
-121.80361,49.11306,"pasm",TRUE
-114.5,49.6333,"pasm",TRUE
-138.249422,64.560638,"pasm",TRUE
-114.8333,50.5167,"pasm",TRUE
-114.08,50.52,"pasm",TRUE
-114.28,49.36,"pasm",TRUE
-133.4389,60.1833,"pasm",TRUE
-120.8,50.3833,"pasm",TRUE
-114.355,49.264,"pasm",TRUE
-112.625873,40.489883,"pasm",TRUE
-106.296329,41.28091,"pasm",TRUE
-121.38222,55.12722,"pasm",TRUE
-121.383,55.117,"pasm",TRUE
-134.3333,60.5167,"pasm",TRUE
-109.471551,44.969112,"pasm",TRUE
-120.446,47.649,"pasm",TRUE
-114.455,50.197,"pasm",TRUE
-138.72069,61.24936,"pasm",TRUE
-110.62269,43.479844,"pasm",TRUE
-115.66667,51.15,"pasm",TRUE
-103.6874,43.84696,"pasm",TRUE
-103.70018,43.90736,"pasm",TRUE
-103.76052,44.39492,"pasm",TRUE
-103.78051,44.39517,"pasm",TRUE
-105.22305,39.60416,"pasm",TRUE
-105.06,38.999,"pasm",TRUE
-103.69057,43.89209,"pasm",TRUE
-106.51345,43.6699,"pasm",TRUE
-105.69729,40.35546,"pasm",TRUE
-117.34722,52.35472,"pasm",TRUE
-107.36315,44.54534,"pasm",TRUE
-107.16476,44.34736,"pasm",TRUE
-105.01333,37.8814,"pasm",TRUE
-107.51089,38.06055,"pasm",TRUE
-107.31728,37.68111,"pasm",TRUE
-115.12944,51.07611,"pasm",TRUE
-114.583,49.633,"pasm",TRUE
-105.77806,39.65165,"pasm",TRUE
-106.30196,41.34414,"pasm",TRUE
-114.39528,49.59111,"pasm",TRUE
-114.583,50.4,"pasm",TRUE
-114.583,49.65,"pasm",TRUE
-119.6513,49.092,"pasm",TRUE
-105.87918,39.6636,"pasm",TRUE
-120.67011,48.72069,"pasm",TRUE
-105.64372,39.58823,"pasm",TRUE
-117.302,45.315,"pasm",TRUE
-109.5936,44.492386,"pasm",TRUE
-119.11861,53.88806,"pasm",TRUE
-119.583333,50.466667,"pasm",TRUE
-135.2,61.1833,"pasm",TRUE
-135.05,60.7167,"pasm",TRUE
-135.2,61.183,"pasm",TRUE
-121.5167,51.2557,"pasm",TRUE
-114.6347,49.0932,"pasm",TRUE
-114.653,49.4385,"pasm",TRUE
-103.78486,44.00267,"pasm",TRUE
-103.82609,43.91954,"pasm",TRUE
-103.96558,44.15359,"pasm",TRUE
-103.78499,44.00916,"pasm",TRUE
-103.79923,43.91802,"pasm",TRUE
-103.64822,43.80355,"pasm",TRUE
-109.22851,47.21887,"pasm",TRUE
-103.71378,43.95792,"pasm",TRUE
-107.06349,44.34773,"pasm",TRUE
-119.016,49.217,"pasm",TRUE
-103.60817,43.80353,"pasm",TRUE
-105.50111,39.9462,"pasm",TRUE
-105.389,40.117,"pasm",TRUE
-114.115,49.41417,"pasm",TRUE
-114.59222,50.28361,"pasm",TRUE
-122.2018,50.7597,"pasm",TRUE
-114.766,50.87,"pasm",TRUE
-112.79056,49.14521,"pasm",TRUE
-113.88139,49.05028,"pasm",TRUE
-114.37194,49.86778,"pasm",TRUE
-119.9083,49.3542,"pasm",TRUE
-114.02139,49.13667,"pasm",TRUE
-114.44361,50.1025,"pasm",TRUE
-114.799,50.932,"pasm",TRUE
-114.822,50.935,"pasm",TRUE
-120.983333,50.15,"pasm",TRUE
-125.533333,49.483333,"pasm",TRUE
-121.45,50.7,"pasm",TRUE
-119.916,49.383,"pasm",TRUE
-119.183333,50.25,"pasm",TRUE
-107.715367,44.564405,"pasm",TRUE
-119.86861,49.365,"pasm",TRUE
-114.52,50.205,"pasm",TRUE
-134.7,60.1667,"pasm",TRUE
-125.2265,52.7217,"pasm",TRUE
-135.220454,61.049753,"pasm",TRUE
-134.707,60.168,"pasm",TRUE
-125.0548,52.843,"pasm",TRUE
-117.672,52.384,"pasm",TRUE
-114.45,50.2,"pasm",TRUE
-127.283,53.767,"pasm",TRUE
-122.333333,50.3,"pasm",TRUE
-114.52,50.218,"pasm",TRUE
-119.6667,49.1067,"pasm",TRUE
-125.5167,49.5335,"pasm",TRUE
-120.68011,48.74208,"pasm",TRUE
-114.5167,50.2,"pasm",TRUE
-114.3712,49.6038,"pasm",TRUE
-133.7208,60.0583,"pasm",TRUE
-114.3667,49.8667,"pasm",TRUE
-119.166667,50.633333,"pasm",TRUE
-119.05,50.533333,"pasm",TRUE
-103.8552,44.4311,"pasm",TRUE
-103.66049,44.19828,"pasm",TRUE
-133.783333,60.05,"pasm",TRUE
-135.166667,61.166667,"pasm",TRUE
-119.083,49.5,"pasm",TRUE
-135.166667,61,"pasm",TRUE
-118.117,48.417,"pasm",TRUE
-109.47683,45.058834,"pasm",TRUE
-109.46655,44.978619,"pasm",TRUE
-114.98,50.595,"pasm",TRUE
-114.1912,49.8512,"pasm",TRUE
-114.3937,49.8657,"pasm",TRUE
-114.6114,49.6833,"pasm",TRUE
-114.4837,49.7348,"pasm",TRUE
-114.4,49.6,"pasm",TRUE
-114.0112,49.2546,"pasm",TRUE
-114.4612,49.8075,"pasm",TRUE
-114.4833,50,"pasm",TRUE
-114.4132,49.4438,"pasm",TRUE
-112.7834,49.08,"pasm",TRUE
-114.3239,49.4438,"pasm",TRUE
-112.9165,49.0946,"pasm",TRUE
-114.3333,49.9167,"pasm",TRUE
-106.00196,39.22471,"pasm",TRUE
-135.05,61.13284,"pasm",TRUE
-119.2,53.967,"pasm",TRUE
-110.133,46.021,"pasm",TRUE
-110.837,47.099,"pasm",TRUE
-111.62,40.582,"pasm",TRUE
-105.28944,38.94583,"pasm",TRUE
-106.0603893,39.3599238,"pasm",TRUE
-119.15,50.2667,"pasm",TRUE
-111.59028,48.92834,"pasm",TRUE
-121.5,50.416667,"pasm",TRUE
-113.271,44.814,"pasm",TRUE
-119.166667,50.25,"pasm",TRUE
-113.271,44.813,"pasm",TRUE
-119.2,50.2667,"pasm",TRUE
-121.55,50.383333,"pasm",TRUE
-113.27,44.81,"pasm",TRUE
-120.7833,50.1167,"pasm",TRUE
-115.207,50.955,"pasm",TRUE
-114.6167,50.0833,"pasm",TRUE
-119.1,49.85,"pasm",TRUE
-119.716667,49.85,"pasm",TRUE
-119.183,50.25,"pasm",TRUE
-119.7,49.883333,"pasm",TRUE
-119.183333,50.266667,"pasm",TRUE
-114.088514,46.632977,"pasm",TRUE
-119.666667,49.85,"pasm",TRUE
-119.683333,50,"pasm",TRUE
-120.683333,50.083333,"pasm",TRUE
-119.883333,49.366667,"pasm",TRUE
-119.65,49.233333,"pasm",TRUE
-119.516667,50.566667,"pasm",TRUE
-117.383,49.483,"pasm",TRUE
-119.066667,50.366667,"pasm",TRUE
-119.866,49.4,"pasm",TRUE
-119.9,49.35,"pasm",TRUE
-119.866667,49.4,"pasm",TRUE
-122.99309,41.39514,"pasm",TRUE
-119.883333,49.35,"pasm",TRUE
-119.616667,50.1,"pasm",TRUE
-119.666667,49.116667,"pasm",TRUE
-120.083333,49.183333,"pasm",TRUE
-115.272,50.814,"pasm",TRUE
-119.233333,49.15,"pasm",TRUE
-119.866667,49.35,"pasm",TRUE
-114.4417,50.0435,"pasm",TRUE
-114.0167,49.8917,"pasm",TRUE
-114.6,49.6833,"pasm",TRUE
-114.0167,49.8197,"pasm",TRUE
-114.4417,50.1014,"pasm",TRUE
-114.2167,49.2833,"pasm",TRUE
-109.65742,48.31083,"pasm",TRUE
-119.85,49.366667,"pasm",TRUE
-120.81429,46.7235,"pasm",TRUE
-114.54468,49.63333,"pasm",TRUE
-109.374,44.757,"pasm",TRUE
-109.569,45.061,"pasm",TRUE
-119.166667,50.2,"pasm",TRUE
-119.15,49.133333,"pasm",TRUE
-116.45,49.1,"pasm",TRUE
-138.7167,61.0833,"pasm",TRUE
-105.591101,41.311367,"pasm",TRUE
-119.066,50.367,"pasm",TRUE
-119.9,49.483333,"pasm",TRUE
-119.9,49.4,"pasm",TRUE
-114.1,49.3333,"pasm",TRUE
-133.8,60.1333,"pasm",TRUE
-116.5,49,"pasm",TRUE
-119.816667,49.366667,"pasm",TRUE
-124.6,51.9,"pasm",TRUE
-105.02472,37.34835,"pasm",TRUE
-113.322137,46.334573,"pasm",TRUE
-136.287,62.088,"pasm",TRUE
-136.2833,62.0833,"pasm",TRUE
-110.73261,46.84315,"pasm",TRUE
-106.32613,41.34775,"pasm",TRUE
-113.9879,45.9526,"pasm",TRUE
-110.25493,45.29114,"pasm",TRUE
-109.99569,45.89464,"pasm",TRUE
-107.36064,44.80719,"pasm",TRUE
-106.29633,41.28091,"pasm",TRUE
-109.54132,44.03968,"pasm",TRUE
