lon,lat,acceptedScientificName
-123.863342,49.183195,Sedum spathulifolium Hook.
-121.87841,37.171608,Sedum spathulifolium Hook.
-122.446891,37.755441,Sedum spathulifolium Hook.
-123.322877,48.836888,Sedum spathulifolium Hook.
-121.916309,37.897088,Sedum spathulifolium Hook.
-122.528527,38.666387,Sedum spathulifolium Hook.
-122.593415,37.945881,Sedum spathulifolium Hook.
-118.506584,34.24667,Sedum album L.
-119.584305,37.027108,Sedum acre L.
-123.968727,49.236155,Sedum spathulifolium Hook.
-123.967959,49.235963,Sedum spathulifolium Hook.
-123.255785,48.856967,Sedum spathulifolium Hook.
-123.446133,48.734117,Sedum spathulifolium Hook.
-122.663466,48.681473,Sedum spathulifolium Hook.
-125.928071,49.161644,Sedum oreganum Nutt. ex Torr. & Gray
-122.43444,37.68543,Sedum spathulifolium Hook.
-122.916824,38.531989,Sedum praealtum A.DC.
-123.326956,48.456612,Sedum spathulifolium Hook.
-123.70517,48.163261,Sedum spathulifolium Hook.
-114.390495,42.594333,Sedum acre L.
-122.644508,37.969883,Sedum spathulifolium Hook.
-122.428907,37.682731,Sedum spathulifolium Hook.
-123.370231,48.861792,Sedum lanceolatum subsp. nesioticum (G.N.Jones) R.T.Clausen
-122.547817,38.628425,Sedum spathulifolium Hook.
-121.040939,38.925915,Sedum spathulifolium Hook.
-123.571398,48.880741,Sedum spathulifolium Hook.
-122.595098,37.946266,Sedum spathulifolium Hook.
-123.319742,48.408399,Sedum acre L.
-105.281599,39.992277,Sedum lanceolatum Torr.
-122.534096,38.642891,Sedum spathulifolium Hook.
-123.1558,49.308269,Sedum oreganum Nutt. ex Torr. & Gray
-122.505661,37.830204,Sedum spathulifolium Hook.
-122.606537,37.984322,Sedum spathulifolium Hook.
-122.663338,48.681492,Sedum spathulifolium Hook.
-123.317763,48.836687,Sedum spathulifolium Hook.
-122.663327,48.681453,Sedum spathulifolium Hook.
-123.456816,48.566254,Sedum spathulifolium Hook.
-122.645069,48.407229,Sedum spathulifolium Hook.
-122.903855,48.752975,Sedum spathulifolium Hook.
-123.552433,48.851152,Sedum spathulifolium Hook.
-122.653115,37.953868,Sedum spathulifolium Hook.
-123.57263,49.013315,Sedum spathulifolium Hook.
-121.914196,37.897247,Sedum spathulifolium Hook.
-123.256488,48.856908,Sedum spathulifolium Hook.
-123.262568,48.824141,Sedum spathulifolium Hook.
-122.760558,38.070961,Sedum spathulifolium Hook.
-123.370187,48.424397,Sedum acre L.
-123.69217,49.134475,Sedum spathulifolium Hook.
-123.256488,48.856908,Sedum spathulifolium Hook.
-122.673103,48.425758,Sedum spathulifolium Hook.
-122.701047,48.498903,Sedum lanceolatum subsp. nesioticum (G.N.Jones) R.T.Clausen
-123.871637,49.19128,Sedum spathulifolium Hook.
-124.43895,49.129006,Sedum divergens S.Watson
-123.367756,48.861321,Sedum spathulifolium Hook.
-122.795754,38.687066,Sedum spathulifolium Hook.
-117.66139,33.742596,Sedum acre L.
-123.255785,48.856967,Sedum spathulifolium Hook.
-123.320722,48.835594,Sedum spathulifolium Hook.
-123.968967,49.236261,Sedum spathulifolium Hook.
-123.587158,48.02953,Sedum spathulifolium Hook.
-123.140537,49.70553,Sedum oreganum Nutt. ex Torr. & Gray
-122.435993,37.689523,Sedum spathulifolium Hook.
-124.895093,49.728215,Sedum lanceolatum Torr.
-123.531825,48.893365,Sedum spathulifolium Hook.
-122.435447,37.68848,Sedum spathulifolium Hook.
-123.317561,48.424311,Sedum spathulifolium Hook.
-121.539715,37.352064,Sedum spathulifolium Hook.
-123.122404,49.005126,Sedum acre L.
-122.489625,37.567387,Sedum spathulifolium Hook.
-125.714722,49.881714,Sedum oreganum Nutt. ex Torr. & Gray
-121.384148,49.372344,Sedum oreganum Nutt. ex Torr. & Gray
-121.20475,36.495498,Sedum spathulifolium Hook.
-123.949839,49.511891,Sedum oreganum Nutt. ex Torr. & Gray
-122.837613,38.774178,Sedum spathulifolium Hook.
-122.434339,37.687602,Sedum spathulifolium Hook.
-123.399039,48.897719,Sedum spathulifolium Hook.
-124.352212,42.136497,Sedum spathulifolium Hook.
-123.947526,49.227114,Sedum spathulifolium Hook.
-123.410031,48.896775,Sedum spathulifolium Hook.
-123.568934,48.578016,Sedum spathulifolium Hook.
-123.331384,48.627945,Sedum spathulifolium Hook.
-122.593015,37.945814,Sedum spathulifolium Hook.
-123.30452,48.401938,Sedum spathulifolium Hook.
-123.405092,48.900597,Sedum spathulifolium Hook.
-122.449769,51.79745,Sedum stenopetalum Pursh
-123.636134,48.321587,Sedum spathulifolium Hook.
-121.203671,36.495674,Sedum spathulifolium Hook.
-123.407408,48.899692,Sedum spathulifolium Hook.
-123.405145,48.900703,Sedum spathulifolium Hook.
-123.523926,48.535762,Sedum spathulifolium Hook.
-122.578292,37.929847,Sedum spathulifolium Hook.
-123.410304,48.896026,Sedum spathulifolium Hook.
-122.49965,37.826294,Sedum spathulifolium Hook.
-124.152321,41.05604,Sedum spathulifolium Hook.
-123.310739,48.871956,Sedum spathulifolium Hook.
-123.407493,48.899605,Sedum spathulifolium Hook.
-123.405257,48.900892,Sedum spathulifolium Hook.
-121.885508,46.78008,Sedum oreganum Nutt. ex Torr. & Gray
-119.268075,52.832595,Sedum acre L.
-116.750649,33.728201,Sedum spathulifolium Hook.
-125.160256,48.874286,Sedum oreganum Nutt. ex Torr. & Gray
-122.644308,37.969872,Sedum spathulifolium Hook.
-123.515553,48.51536,Sedum spathulifolium Hook.
-123.950016,49.225665,Sedum spathulifolium Hook.
-121.474768,36.039178,Sedum spathulifolium Hook.
-122.593694,37.945881,Sedum spathulifolium Hook.
-123.395867,48.506833,Sedum spathulifolium Hook.
-122.761107,48.13917,Sedum acre L.
-121.20187,36.499333,Sedum spathulifolium Hook.
-123.404899,48.900727,Sedum spathulifolium Hook.
-122.385092,38.546782,Sedum spathulifolium Hook.
-115.822456,49.267556,Sedum stenopetalum Pursh
-123.378568,48.888528,Sedum spathulifolium Hook.
-125.161139,48.869837,Sedum oreganum Nutt. ex Torr. & Gray
-125.159164,48.872805,Sedum oreganum Nutt. ex Torr. & Gray
-123.31518,48.83152,Sedum spathulifolium Hook.
-123.250998,48.427806,Sedum lanceolatum Torr.
-127.003354,50.629367,Sedum ternatum Michx.
-122.974853,37.994372,Sedum spathulifolium Hook.
-123.445172,48.850696,Sedum spathulifolium Hook.
-122.587105,48.481925,Sedum spathulifolium Hook.
-123.525262,48.803795,Sedum spathulifolium Hook.
-123.318275,48.411697,Sedum spathulifolium Hook.
-117.023828,34.09872,Sedum spathulifolium Hook.
-121.092339,39.29567,Sedum spathulifolium Hook.
-122.638611,48.455837,Sedum spathulifolium Hook.
-124.365539,42.156547,Sedum spathulifolium Hook.
-123.513725,48.800542,Sedum spathulifolium Hook.
-124.324944,40.234405,Sedum spathulifolium Hook.
-122.593328,37.945905,Sedum spathulifolium Hook.
-123.623417,49.003699,Sedum spathulifolium Hook.
-122.890158,38.132089,Sedum spathulifolium Hook.
-122.438306,37.696016,Sedum spathulifolium Hook.
-121.223515,40.029351,Sedum spathulifolium Hook.
-123.384484,48.491399,Sedum spathulifolium Hook.
-123.310192,48.800584,Sedum spathulifolium Hook.
-121.93996,45.278809,Sedum spathulifolium Hook.
-114.347412,49.575594,Sedum lanceolatum Torr.
-121.718117,45.707077,Sedum spathulifolium Hook.
-122.246253,44.392587,Sedum spathulifolium Hook.
-123.305424,48.397345,Sedum spathulifolium Hook.
-123.407478,48.899658,Sedum spathulifolium Hook.
-125.159264,48.872847,Sedum oreganum Nutt. ex Torr. & Gray
-123.672349,42.238929,Sedum laxum A.Berger
-123.372618,48.475175,Sedum spathulifolium Hook.
-122.797158,38.684383,Sedum spathulifolium Hook.
-122.471808,38.370033,Sedum radiatum S.Watson
-121.039924,38.926262,Sedum spathulifolium Hook.
-123.523949,48.450442,Sedum spathulifolium Hook.
-121.780061,39.76676,Sedum spathulifolium Hook.
-123.773942,49.124247,Sedum spathulifolium Hook.
-123.947722,49.226925,Sedum spathulifolium Hook.
-125.868185,49.130703,Sedum oreganum Nutt. ex Torr. & Gray
-123.387012,48.878028,Sedum spathulifolium Hook.
-123.541443,44.987873,Sedum oreganum Nutt. ex Torr. & Gray
-122.943427,48.459946,Sedum spathulifolium Hook.
-124.137661,40.11638,Sedum spathulifolium Hook.
-123.311252,48.871462,Sedum spathulifolium Hook.
-123.125473,48.540099,Sedum spathulifolium Hook.
-121.079781,50.779361,Sedum album L.
-125.114272,49.637226,Sedum oreganum Nutt. ex Torr. & Gray
-122.345784,38.24465,Sedum spathulifolium Hook.
-123.351715,48.421987,Sedum album L.
-123.407356,48.899753,Sedum spathulifolium Hook.
-121.939003,37.890945,Sedum spathulifolium Hook.
-122.592226,37.945693,Sedum spathulifolium Hook.
-122.799952,48.016979,Sedum spathulifolium Hook.
-122.747156,37.934289,Sedum spathulifolium Hook.
-123.423643,48.807584,Sedum spathulifolium Hook.
-124.174128,40.127943,Sedum spathulifolium Hook.
-123.403656,48.893969,Sedum spathulifolium Hook.
-123.40342,48.893637,Sedum spathulifolium Hook.
-125.159217,48.87283,Sedum oreganum Nutt. ex Torr. & Gray
-124.161562,41.14099,Sedum spathulifolium Hook.
-123.706314,48.339324,Sedum spathulifolium Hook.
-123.950575,49.227541,Sedum spathulifolium Hook.
-123.333896,48.866107,Sedum spathulifolium Hook.
-123.31115,48.872178,Sedum spathulifolium Hook.
-123.306221,48.396109,Sedum album L.
-123.579979,48.991122,Sedum spathulifolium Hook.
-123.478446,48.453229,Sedum spathulifolium Hook.
-121.201222,36.500203,Sedum spathulifolium Hook.
-123.583798,48.498368,Sedum spathulifolium Hook.
-135.889358,60.850137,Sedum lanceolatum Torr.
-123.335289,48.457555,Sedum album L.
-123.303872,48.39877,Sedum spathulifolium Hook.
-121.201328,36.499524,Sedum spathulifolium Hook.
-123.372106,39.235026,Sedum radiatum S.Watson
-123.404432,48.900826,Sedum spathulifolium Hook.
-122.793305,38.689933,Sedum spathulifolium Hook.
-123.311562,48.871567,Sedum spathulifolium Hook.
-119.7305,38.29425,Sedum obtusatum A.Gray
-121.005792,48.456183,Sedum lanceolatum Torr.
-120.90995,47.608433,Sedum lanceolatum Torr.
-105.222563,39.462015,Sedum lanceolatum Torr.
-123.470032,48.470116,Sedum spathulifolium Hook.
-121.149514,46.801545,Sedum divergens S.Watson
-121.367425,49.370514,Sedum oreganum Nutt. ex Torr. & Gray
-105.249405,39.770388,Sedum lanceolatum Torr.
-122.926911,49.298139,Sedum acre L.
-125.000047,49.952645,Sedum acre L.
-123.534325,48.509739,Sedum spathulifolium Hook.
-123.278996,48.662121,Sedum spathulifolium Hook.
-125.00254,49.949158,Sedum acre L.
-122.946575,41.310161,Sedum obtusatum A.Gray
-124.151556,41.067617,Sedum spathulifolium Hook.
-122.103578,44.218608,Sedum oregonense (S.Watson) M.Peck
-113.824556,49.107911,Sedum lanceolatum Torr.
-123.902218,49.133464,Sedum spathulifolium Hook.
-123.332327,47.692073,Sedum divergens S.Watson
-123.531424,48.51565,Sedum spathulifolium Hook.
-113.519204,48.694207,Sedum lanceolatum Torr.
-114.206232,49.582743,Sedum lanceolatum Torr.
-114.92183,50.007328,Sedum lanceolatum Torr.
-123.409934,48.749404,Sedum spathulifolium Hook.
-122.648767,45.437173,Sedum spathulifolium Hook.
-105.384474,40.253468,Sedum lanceolatum Torr.
-135.037561,60.710233,Sedum lanceolatum Torr.
-104.921236,39.118408,Sedum acre L.
-120.937203,49.030831,Sedum lanceolatum Torr.
-123.712418,48.428687,Sedum spathulifolium Hook.
-117.286869,47.643609,Sedum stenopetalum Pursh
-121.410614,49.316548,Sedum oreganum Nutt. ex Torr. & Gray
-120.846107,49.201668,Sedum lanceolatum Torr.
-125.098481,49.852586,Sedum lanceolatum Torr.
-125.331494,50.042741,Sedum oreganum Nutt. ex Torr. & Gray
-120.008194,38.4403,Sedum obtusatum A.Gray
-116.953343,47.70262,Sedum stenopetalum Pursh
-121.023614,48.4663,Sedum divergens S.Watson
-120.762601,49.076662,Sedum lanceolatum Torr.
-125.000183,49.952512,Sedum acre L.
-123.422662,48.523997,Sedum spathulifolium Hook.
-123.140735,49.705505,Sedum oreganum Nutt. ex Torr. & Gray
-135.036305,60.703113,Sedum lanceolatum Torr.
-122.974772,37.994371,Sedum spathulifolium Hook.
-123.537078,48.508308,Sedum spathulifolium Hook.
-135.092263,60.714749,Sedum lanceolatum Torr.
-120.7659,49.080101,Sedum divergens S.Watson
-121.410614,49.316548,Sedum oreganum Nutt. ex Torr. & Gray
-121.369206,49.378093,Sedum oreganum Nutt. ex Torr. & Gray
-123.433611,48.426944,Sedum spathulifolium Hook.
-105.301121,40.034776,Sedum lanceolatum Torr.
-121.476715,51.221659,Sedum lanceolatum Torr.
-120.614426,50.085177,Sedum lanceolatum Torr.
-105.620202,40.350921,Sedum lanceolatum Torr.
-123.334007,49.366455,Sedum oreganum Nutt. ex Torr. & Gray
-124.05711,49.611633,Sedum oreganum Nutt. ex Torr. & Gray
-124.057664,49.609769,Sedum oreganum Nutt. ex Torr. & Gray
-120.763642,49.070527,Sedum lanceolatum Torr.
-120.503983,39.311333,Sedum obtusatum A.Gray
-120.798279,49.064007,Sedum lanceolatum Torr.
-121.939003,37.891097,Sedum spathulifolium Hook.
-120.840836,49.194443,Sedum lanceolatum Torr.
-121.275506,40.036686,Sedum albomarginatum R.T.Clausen
-124.499725,49.366665,Sedum acre L.
-120.984122,39.329947,Sedum spathulifolium Hook.
-115.511276,40.321999,Sedum lanceolatum Torr.
-122.62963,48.453697,Sedum spathulifolium Hook.
-123.393617,48.916028,Sedum spathulifolium Hook.
-123.696228,49.132033,Sedum spathulifolium Hook.
-120.763543,49.07052,Sedum lanceolatum Torr.
-122.596713,37.59013,Sedum spathulifolium Hook.
-127.105835,50.06139,Sedum divergens S.Watson
-123.947863,49.22695,Sedum spathulifolium Hook.
-120.754936,49.043213,Sedum lanceolatum Torr.
-119.732675,38.295375,Sedum obtusatum A.Gray
-123.728219,49.097656,Sedum spathulifolium Hook.
-123.727631,49.096564,Sedum spathulifolium Hook.
-122.578488,37.929955,Sedum spathulifolium Hook.
-120.804164,49.073415,Sedum lanceolatum Torr.
-122.23423,44.852741,Sedum spathulifolium Hook.
-123.635836,48.321904,Sedum spathulifolium Hook.
-123.409603,48.746313,Sedum spathulifolium Hook.
-120.77171,49.074094,Sedum divergens S.Watson
-123.396953,52.087778,Sedum lanceolatum Torr.
-124.059729,49.608004,Sedum oreganum Nutt. ex Torr. & Gray
-119.278953,49.108989,Sedum lanceolatum Torr.
-123.576004,49.012054,Sedum spathulifolium Hook.
-122.679369,41.271416,Sedum obtusatum A.Gray
-120.490372,38.7657,Sedum spathulifolium Hook.
-122.900013,48.696144,Sedum album L.
-123.110315,47.913769,Sedum spathulifolium Hook.
-113.877323,49.069187,Sedum lanceolatum Torr.
-125.67572,52.403592,Sedum divergens S.Watson
-122.68079,41.270625,Sedum obtusatum A.Gray
-125.000882,49.952657,Sedum acre L.
-123.693986,49.073844,Sedum spathulifolium Hook.
-113.92456,49.050089,Sedum lanceolatum Torr.
-123.406732,48.749845,Sedum spathulifolium Hook.
-123.693056,49.074825,Sedum spathulifolium Hook.
-114.207845,49.582914,Sedum acre L.
-121.140047,39.939998,Sedum obtusatum A.Gray
-135.032923,60.667218,Sedum lanceolatum Torr.
-122.500838,37.568538,Sedum spathulifolium Hook.
-120.798941,49.070319,Sedum lanceolatum Torr.
-117.940025,48.513813,Sedum stenopetalum Pursh
-122.965165,39.836772,Sedum obtusatum A.Gray
-125.763741,52.554958,Sedum divergens S.Watson
-120.762601,49.076662,Sedum lanceolatum Torr.
-119.036269,37.314258,Sedum obtusatum A.Gray
-115.100238,50.721576,Sedum lanceolatum Torr.
-120.154267,38.70813,Sedum obtusatum A.Gray
-122.998436,48.536503,Sedum spathulifolium Hook.
-123.216225,47.945946,Sedum spathulifolium Hook.
-120.053214,38.840553,Sedum obtusatum A.Gray
-123.694175,49.074067,Sedum spathulifolium Hook.
-135.025812,60.661407,Sedum lanceolatum Torr.
-125.803458,52.386487,Sedum lanceolatum Torr.
-113.824582,49.10792,Sedum lanceolatum Torr.
-119.531463,50.905174,Sedum acre L.
-123.711852,48.428999,Sedum spathulifolium Hook.
-125.330784,50.041716,Sedum oreganum Nutt. ex Torr. & Gray
-113.668717,48.700763,Sedum lanceolatum Torr.
-121.528147,46.907013,Sedum divergens S.Watson
-117.042319,49.045636,Sedum lanceolatum Torr.
-120.764866,49.111795,Sedum lanceolatum Torr.
-123.502163,48.559535,Sedum spathulifolium Hook.
-128.580435,60.018691,Sedum lanceolatum Torr.
-105.487447,40.487308,Sedum lanceolatum Torr.
-119.258112,37.926572,Sedum obtusatum A.Gray
-120.758462,49.104258,Sedum lanceolatum Torr.
-123.718626,48.438472,Sedum spathulifolium Hook.
-114.710237,48.146314,Sedum lanceolatum Torr.
-119.958889,38.477145,Sedum obtusatum A.Gray
-120.002396,38.702964,Sedum lanceolatum Torr.
-121.790276,48.934723,Sedum lanceolatum Torr.
-119.674851,49.114356,Sedum lanceolatum Torr.
-119.9598,38.476942,Sedum obtusatum A.Gray
-134.832297,60.397853,Sedum lanceolatum Torr.
-122.996621,50.538199,Sedum divergens S.Watson
-123.429772,48.519703,Sedum spathulifolium Hook.
-120.584093,47.380358,Sedum lanceolatum Torr.
-135.036439,60.703163,Sedum lanceolatum Torr.
-114.874596,47.600372,Sedum lanceolatum Torr.
-119.872657,38.707148,Sedum lanceolatum Torr.
-117.041667,39.478056,Sedum lanceolatum Torr.
-119.637836,49.102758,Sedum stenopetalum Pursh
-116.514,45.349262,Sedum stenopetalum subsp. stenopetalum
-127.328247,55.015233,Sedum divergens S.Watson
-121.16593,46.743637,Sedum lanceolatum Torr.
-105.790737,40.238399,Sedum lanceolatum Torr.
-105.401662,39.866121,Sedum lanceolatum Torr.
-120.419623,44.50605,Sedum stenopetalum Pursh
-122.911583,41.019831,Sedum obtusatum A.Gray
-124.599967,49.221008,Sedum divergens S.Watson
-128.582917,60.018292,Sedum lanceolatum Torr.
-122.009836,45.644383,Sedum oreganum Nutt. ex Torr. & Gray
-120.670372,39.708931,Sedum obtusatum A.Gray
-123.030585,40.876574,Sedum spathulifolium Hook.
-120.909962,49.0708,Sedum lanceolatum Torr.
-119.959257,38.477115,Sedum obtusatum A.Gray
-123.817797,39.376733,Sedum spathulifolium Hook.
-123.455922,48.527499,Sedum spathulifolium Hook.
-122.932005,50.057617,Sedum divergens S.Watson
-123.38295,48.72147,Sedum spathulifolium Hook.
-105.061158,39.835992,Sedum album L.
-128.818345,57.706933,Sedum lanceolatum Torr.
-119.600267,38.313872,Sedum obtusatum A.Gray
-105.060545,39.160005,Sedum lanceolatum Torr.
-123.641582,48.316921,Sedum spathulifolium Hook.
-125.211636,49.64673,Sedum divergens S.Watson
-121.187862,40.053025,Sedum albomarginatum R.T.Clausen
-123.684885,45.961893,Sedum oreganum Nutt. ex Torr. & Gray
-117.041667,39.477778,Sedum lanceolatum Torr.
-128.585433,60.017842,Sedum lanceolatum Torr.
-120.352749,50.642681,Sedum acre L.
-119.425339,49.869873,Sedum album L.
-120.641511,39.582714,Sedum obtusatum A.Gray
-120.824165,49.050278,Sedum lanceolatum Torr.
-121.444336,48.019253,Sedum oreganum subsp. tenue R.T.Clausen
-119.633263,49.09491,Sedum lanceolatum Torr.
-125.336323,50.043148,Sedum oreganum Nutt. ex Torr. & Gray
-123.622421,48.657658,Sedum album L.
-120.664878,39.691862,Sedum obtusatum A.Gray
-119.984253,38.688667,Sedum lanceolatum Torr.
-125.213025,49.65266,Sedum oreganum Nutt. ex Torr. & Gray
-120.58507,47.39725,Sedum lanceolatum Torr.
-123.029136,44.935312,Sedum album L.
-121.901245,44.719308,Sedum oregonense (S.Watson) M.Peck
-112.358078,46.975057,Sedum lanceolatum Torr.
-121.680969,46.705799,Sedum divergens S.Watson
-113.680362,48.802828,Sedum lanceolatum Torr.
-111.631057,40.654931,Sedum debile S.Watson
-120.113771,38.926137,Sedum obtusatum A.Gray
-128.584813,60.017988,Sedum lanceolatum Torr.
-121.535675,45.35415,Sedum divergens S.Watson
-123.513665,48.518885,Sedum spathulifolium Hook.
-120.223024,38.850166,Sedum obtusatum A.Gray
-123.473692,48.470483,Sedum spathulifolium Hook.
-123.410805,48.746825,Sedum spathulifolium Hook.
-135.258172,60.644476,Sedum lanceolatum Torr.
-122.545113,47.26326,Sedum album L.
-123.466217,48.465043,Sedum spathulifolium Hook.
-119.724717,38.222288,Sedum obtusatum A.Gray
-113.657474,48.800257,Sedum lanceolatum Torr.
-125.821866,52.520367,Sedum lanceolatum Torr.
-110.840438,44.468617,Sedum lanceolatum Torr.
-134.886642,60.587325,Sedum lanceolatum Torr.
-104.883103,38.893,Sedum acre L.
-119.892585,38.438851,Sedum obtusatum A.Gray
-121.816932,51.175661,Sedum lanceolatum Torr.
-120.245997,38.532988,Sedum obtusatum A.Gray
-120.798284,49.064183,Sedum lanceolatum Torr.
-122.489826,37.567575,Sedum spathulifolium Hook.
-119.959155,38.477223,Sedum obtusatum A.Gray
-117.122055,47.917815,Sedum lanceolatum Torr.
-105.560363,40.849675,Sedum lanceolatum Torr.
-111.384247,45.307033,Sedum lanceolatum Torr.
-122.009168,47.655048,Sedum sexangulare L.
-123.282984,48.866962,Sedum spathulifolium Hook.
-115.783862,51.061562,Sedum lanceolatum Torr.
-120.245045,39.200339,Sedum obtusatum A.Gray
-123.763752,41.754151,Sedum obtusatum A.Gray
-128.583039,60.018367,Sedum lanceolatum Torr.
-122.932037,50.057556,Sedum divergens S.Watson
