lon,lat,acceptedScientificName
-124.43895,49.129006,Sedum divergens S.Watson
-121.149514,46.801545,Sedum divergens S.Watson
-123.332327,47.692073,Sedum divergens S.Watson
-121.023614,48.4663,Sedum divergens S.Watson
-120.7659,49.080101,Sedum divergens S.Watson
-127.105835,50.06139,Sedum divergens S.Watson
-120.77171,49.074094,Sedum divergens S.Watson
-125.67572,52.403592,Sedum divergens S.Watson
-125.763741,52.554958,Sedum divergens S.Watson
-121.528147,46.907013,Sedum divergens S.Watson
-122.996621,50.538199,Sedum divergens S.Watson
-127.328247,55.015233,Sedum divergens S.Watson
-124.599967,49.221008,Sedum divergens S.Watson
-122.932005,50.057617,Sedum divergens S.Watson
-125.211636,49.64673,Sedum divergens S.Watson
-121.680969,46.705799,Sedum divergens S.Watson
-121.535675,45.35415,Sedum divergens S.Watson
-122.932037,50.057556,Sedum divergens S.Watson
-123.439441,48.001391,Sedum divergens S.Watson
-121.000519,49.003674,Sedum divergens S.Watson
-121.602178,48.516972,Sedum divergens S.Watson
-121.497223,46.862221,Sedum divergens S.Watson
-121.941266,46.783811,Sedum divergens S.Watson
-120.754959,48.874613,Sedum divergens S.Watson
-121.398462,46.417962,Sedum divergens S.Watson
-121.850545,48.848663,Sedum divergens S.Watson
-125.342396,49.714848,Sedum divergens S.Watson
-121.625873,45.33639,Sedum divergens S.Watson
-121.040489,48.684849,Sedum divergens S.Watson
-125.342363,49.714898,Sedum divergens S.Watson
-123.255151,47.946111,Sedum divergens S.Watson
-121.443917,46.488187,Sedum divergens S.Watson
-121.497165,46.86221,Sedum divergens S.Watson
-123.013638,49.955351,Sedum divergens S.Watson
-121.803188,49.120231,Sedum divergens S.Watson
-121.478834,46.920079,Sedum divergens S.Watson
-120.771083,49.076741,Sedum divergens S.Watson
-123.533172,50.831122,Sedum divergens S.Watson
-131.921794,53.240236,Sedum divergens S.Watson
-121.492138,46.937371,Sedum divergens S.Watson
-121.895748,48.801666,Sedum divergens S.Watson
-123.133504,47.818146,Sedum divergens S.Watson
-123.259415,47.593353,Sedum divergens S.Watson
-121.85606,46.919786,Sedum divergens S.Watson
-131.488787,52.804417,Sedum divergens S.Watson
-123.449764,47.991841,Sedum divergens S.Watson
-121.843147,46.915394,Sedum divergens S.Watson
-121.837102,44.484773,Sedum divergens S.Watson
-121.2681,46.99243,Sedum divergens S.Watson
-121.144599,47.558993,Sedum divergens S.Watson
-121.677,46.76912,Sedum divergens S.Watson
-121.66073,46.90068,Sedum divergens S.Watson
-125.944361,57.354083,Sedum divergens S.Watson
-121.6759,46.76862,Sedum divergens S.Watson
-125.684698,49.645962,Sedum divergens S.Watson
-129.883222,57.548778,Sedum divergens S.Watson
-126.826667,55.214556,Sedum divergens S.Watson
-127.03875,54.384306,Sedum divergens S.Watson
-125.457472,54.881389,Sedum divergens S.Watson
-125.448444,54.904806,Sedum divergens S.Watson
-121.509915,46.862575,Sedum divergens S.Watson
-125.525722,55.220361,Sedum divergens S.Watson
-126.387944,56.467167,Sedum divergens S.Watson
-127.003444,56.684861,Sedum divergens S.Watson
-126.365083,56.482694,Sedum divergens S.Watson
-126.38825,56.468472,Sedum divergens S.Watson
-123.371841,48.01219,Sedum divergens S.Watson
-126.720583,53.238028,Sedum divergens S.Watson
-127.043167,53.616861,Sedum divergens S.Watson
-127.193417,53.778389,Sedum divergens S.Watson
-127.517194,54.136472,Sedum divergens S.Watson
-126.403417,53.4575,Sedum divergens S.Watson
-127.221944,57.595833,Sedum divergens S.Watson
-127.402222,57.194722,Sedum divergens S.Watson
-126.61,57.802222,Sedum divergens S.Watson
-126.209722,56.636944,Sedum divergens S.Watson
-123.07846,47.828081,Sedum divergens S.Watson
-120.7695,48.5048,Sedum divergens S.Watson
-120.2055,48.92899,Sedum divergens S.Watson
-121.454617,48.9181,Sedum divergens S.Watson
-121.50206,46.90381,Sedum divergens S.Watson
-121.46565,48.903067,Sedum divergens S.Watson
-120.826,48.39685,Sedum divergens S.Watson
-120.8255,48.395833,Sedum divergens S.Watson
-129.435278,56.220556,Sedum divergens S.Watson
-119.787212,53.89566,Sedum divergens S.Watson
-119.75434,54.151461,Sedum divergens S.Watson
-121.468706,47.038515,Sedum divergens S.Watson
-119.986667,54.16498,Sedum divergens S.Watson
-128.698333,54.892778,Sedum divergens S.Watson
-121.590367,46.867867,Sedum divergens S.Watson
-119.955833,54.013611,Sedum divergens S.Watson
-128.545,55.08,Sedum divergens S.Watson
-129.4675,56.559722,Sedum divergens S.Watson
-119.825337,54.010451,Sedum divergens S.Watson
-129.432222,56.215556,Sedum divergens S.Watson
-120.6593,48.4545,Sedum divergens S.Watson
-127.784444,56.071944,Sedum divergens S.Watson
-128.576111,55.065556,Sedum divergens S.Watson
-121.468706,47.038515,Sedum divergens S.Watson
-119.71723,53.937348,Sedum divergens S.Watson
-121.86635,46.953167,Sedum divergens S.Watson
-128.923889,57.236111,Sedum divergens S.Watson
-128.901944,57.235833,Sedum divergens S.Watson
-121.207183,47.431817,Sedum divergens S.Watson
-120.579333,48.37175,Sedum divergens S.Watson
-128.589444,56.807778,Sedum divergens S.Watson
-120.882397,48.159984,Sedum divergens S.Watson
-128.555,56.950556,Sedum divergens S.Watson
-121.739611,46.753417,Sedum divergens S.Watson
-121.72033,46.761758,Sedum divergens S.Watson
-140.0026847,60.0515995,Sedum divergens S.Watson
-140.000833,60.052,Sedum divergens S.Watson
-120.838333,48.551667,Sedum divergens S.Watson
-126.8,52.4,Sedum divergens S.Watson
-121.532778,55.016389,Sedum divergens S.Watson
-120.870156,48.572619,Sedum divergens S.Watson
-124.34,49.053333,Sedum divergens S.Watson
-120.881,49.547,Sedum divergens S.Watson
-126.490833,53.661111,Sedum divergens S.Watson
-126.869444,54.091389,Sedum divergens S.Watson
-126.940833,55.005278,Sedum divergens S.Watson
-121.501433,47.348833,Sedum divergens S.Watson
-121.593056,47.32,Sedum divergens S.Watson
-136.1,59.29,Sedum divergens S.Watson
-136.1,59.29,Sedum divergens S.Watson
-136.0998,59.2877,Sedum divergens S.Watson
-136.11,59.28,Sedum divergens S.Watson
-136.1,59.288,Sedum divergens S.Watson
-121.75,49.04,Sedum divergens S.Watson
-121.75,49.03,Sedum divergens S.Watson
-121.754,49.035,Sedum divergens S.Watson
-126.9,54.9,Sedum divergens S.Watson
-124.716667,49.5,Sedum divergens S.Watson
-124.716667,49.5,Sedum divergens S.Watson
-121.87,49.04,Sedum divergens S.Watson
-120.826409,47.7461,Sedum divergens S.Watson
-122.4525,43.1609,Sedum divergens S.Watson
-121.325,47.275,Sedum divergens S.Watson
-121.191667,47.2375,Sedum divergens S.Watson
-121.341667,49.091667,Sedum divergens S.Watson
-127.333333,55.033333,Sedum divergens S.Watson
-120.916667,49.7,Sedum divergens S.Watson
-121.205556,49.075,Sedum divergens S.Watson
-121.143333,49.066667,Sedum divergens S.Watson
-120.933333,49.716667,Sedum divergens S.Watson
-125.275,49.186667,Sedum divergens S.Watson
-125.283333,49.22,Sedum divergens S.Watson
-125.28,49.2,Sedum divergens S.Watson
-125.561667,49.455,Sedum divergens S.Watson
-125.550556,49.434722,Sedum divergens S.Watson
-125.561667,49.458333,Sedum divergens S.Watson
-125.666667,49.133333,Sedum divergens S.Watson
-125.166667,48.866667,Sedum divergens S.Watson
-125.1,50.163333,Sedum divergens S.Watson
-125.083333,50.171667,Sedum divergens S.Watson
-125.35,49.716667,Sedum divergens S.Watson
-125.625,49.691667,Sedum divergens S.Watson
-125.45,49.233333,Sedum divergens S.Watson
-125.45,49.233333,Sedum divergens S.Watson
-125.45,49.233333,Sedum divergens S.Watson
-125.416667,49.216667,Sedum divergens S.Watson
-125.45,49.233333,Sedum divergens S.Watson
-125.433333,49.233333,Sedum divergens S.Watson
-125.625,49.7,Sedum divergens S.Watson
-126.5,49.733333,Sedum divergens S.Watson
-121.2,49.066667,Sedum divergens S.Watson
-121.133333,49.016667,Sedum divergens S.Watson
-121.45,49.016667,Sedum divergens S.Watson
-121.6,49.016667,Sedum divergens S.Watson
-127.133333,52.933333,Sedum divergens S.Watson
-127.283333,50.333333,Sedum divergens S.Watson
-126.916667,49.95,Sedum divergens S.Watson
-127.1,50.066667,Sedum divergens S.Watson
-127,50.366667,Sedum divergens S.Watson
-133.283333,58.866667,Sedum divergens S.Watson
-133.283333,58.866667,Sedum divergens S.Watson
-135.71,59.3,Sedum divergens S.Watson
-126.058333,52.663889,Sedum divergens S.Watson
-126.093333,52.775,Sedum divergens S.Watson
-125.616667,49.683333,Sedum divergens S.Watson
-122.4302,43.0762,Sedum divergens S.Watson
-122.6,55.3,Sedum divergens S.Watson
-128.7,54.8,Sedum divergens S.Watson
-124.05,49.15,Sedum divergens S.Watson
-122.1486,44.8295,Sedum divergens S.Watson
-124.591667,49.233333,Sedum divergens S.Watson
-128.8,57.6,Sedum divergens S.Watson
-120.85111,47.97639,Sedum divergens S.Watson
-120.835,47.487763,Sedum divergens S.Watson
-120.67042,48.72029,Sedum divergens S.Watson
-128.6,54.52,Sedum divergens S.Watson
-129.8,56.8,Sedum divergens S.Watson
-129.31,56.07,Sedum divergens S.Watson
-129.99,55.94,Sedum divergens S.Watson
-127.5,54.1,Sedum divergens S.Watson
-121.9,49,Sedum divergens S.Watson
-122.86,46.6,Sedum divergens S.Watson
-124.466667,48.95,Sedum divergens S.Watson
-125.3,52.8,Sedum divergens S.Watson
-122.7,55.5,Sedum divergens S.Watson
-121.8391,48.8221,Sedum divergens S.Watson
-121.8391,48.8221,Sedum divergens S.Watson
-126.49,49.75,Sedum divergens S.Watson
-123.8,51.2,Sedum divergens S.Watson
-123.8,51.2,Sedum divergens S.Watson
-124.333333,49.05,Sedum divergens S.Watson
-124.675,48.26667,Sedum divergens S.Watson
-122.0101,44.6276,Sedum divergens S.Watson
-122.3214,44.2656,Sedum divergens S.Watson
-135.7,59.3,Sedum divergens S.Watson
-122.1058,44.4125,Sedum divergens S.Watson
